0,4.0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
2,,A,A,A,A,A,A,C,C,A,A,C,C,C,C,C,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,A,C,A,A,C
3,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,C,A,C,C,A,B,B,B,B,B,A,A,A,A,A
4,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
5,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
6,,A,A,A,A,A,A,C,A,A,A,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
7,,A,C,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
8,,A,A,A,A,A,B,A,B,B,B,C,C,C,C,C,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,C,B,A,B,C
9,,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
10,,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,A,B,C,B,C,C,C,C,C
11,,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
12,,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
13,,A,B,A,B,B,C,B,C,B,C,C,C,B,C,C,B,B,C,B,B,A,A,A,A,A,B,B,A,B,B,C,C,A,C,C
14,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,A,C,C,C,B,B,B,B,B,B,C,C,C,C,C
15,,A,A,A,A,A,B,B,C,B,B,C,C,C,C,C,C,C,C,C,C,C,B,B,C,C,A,C,A,A,C,C,C,C,C,C
16,,B,C,C,C,B,C,C,C,C,C,C,B,C,B,B,B,B,A,B,C,A,A,A,B,A,B,B,B,C,C,C,C,B,B,B
17,,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B
18,,C,B,B,C,C,A,C,A,A,A,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
19,,B,A,B,B,B,C,C,C,C,C,C,C,C,C,C,B,C,B,B,B,A,A,C,A,A,B,B,C,C,C,A,A,A,A,A
20,,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,C,C,C,C,C
21,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
22,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,A,B,A,A,A,B,C,B,B,B,C,A,C,C,C
23,,A,A,A,A,A,B,B,A,B,B,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
24,,C,C,C,C,C,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
25,,B,B,B,B,B,C,C,A,C,C,A,A,C,B,C,A,B,B,B,A,C,B,C,C,B,B,B,C,C,C,B,B,B,C,C
26,,B,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,C,C,C,C,C
27,,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
28,,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
29,,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
30,,C,C,C,C,C,B,B,B,B,B,C,A,C,C,C,A,A,A,A,A,C,B,C,B,C,B,B,B,B,B,C,C,B,C,C
31,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,C,A,C,C,C,B,B,B,B,B,B,B,A,B,B
32,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
33,,B,B,B,B,B,A,A,A,A,A,C,C,C,C,C,C,C,A,C,C,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
34,,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,C,C,C,C,A,A,A,A,A,B,B,B,B,C,C,C,C,C,C
35,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,A,C,C
36,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
37,,A,B,A,C,B,B,A,B,A,C,B,B,A,A,B,C,C,B,B,A,B,A,C,B,A,C,B,A,C,C,C,C,C,B,A
38,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C
39,,A,B,A,A,A,A,B,B,A,A,C,C,C,C,C,B,B,B,B,B,B,C,B,A,B,B,B,B,B,B,A,C,B,C,C
40,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,A,B,B,A,A,B,B,B,B,B,C,C,C,C,C
41,,C,A,B,A,B,C,A,B,A,A,C,A,A,B,A,B,C,C,A,B,A,B,C,B,A,A,C,C,C,A,A,C,B,B,C
42,,A,A,A,A,A,C,B,C,B,B,C,C,C,C,C,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,C,B,A,C,C
43,,A,C,A,C,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,B,A,A,B,B,B,C,B,B,B,C,C,C,C,C
44,,A,A,A,A,A,C,C,A,A,C,C,C,C,C,C,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,B,B,B,C,B
45,,C,A,B,C,A,A,C,C,B,A,B,C,A,C,C,A,C,A,B,C,B,C,A,B,B,B,A,C,B,B,C,A,B,C,C
46,,B,C,B,B,B,C,C,B,A,C,B,B,A,A,B,A,B,C,C,C,C,A,C,B,C,A,C,A,B,A,A,C,A,B,A
47,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,C,C,C,C,C
48,,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
49,,A,B,C,C,C,A,B,C,C,A,C,C,C,C,C,B,B,B,B,B,B,A,B,B,B,B,C,A,C,B,C,B,B,B,C
